,Years_Education,Salary_Invested,CMV,Labels,Hierarchical Clustering
0,-0.6781126739441324,-0.26032005182277346,0.6286881444063624,31.0,0
1,-0.6781126739441324,2.622432688175669,-1.3503640490503863,35.0,0
2,-1.6839166679785857,-0.20618061889460368,1.1067368777213398,30.0,0
3,0.6629593181018054,0.4073658573466866,-0.9092607150118136,12.0,1
4,0.6629593181018054,-0.11840609634034267,-0.7074522683367277,12.0,1
5,-0.6781126739441324,-0.4713897155287887,-0.937626743326542,1.0,0
6,-0.6781126739441324,-0.5595740993909472,-1.098702500841241,1.0,0
7,-0.6781126739441324,0.339243195232536,-1.4036179823170023,0.0,0
8,0.6629593181018054,-0.2270993539705252,0.5342377721976473,33.0,1
9,0.6629593181018054,-0.5610606242916026,-1.304839278812307,4.0,1
10,0.6629593181018054,-0.6426028799216155,0.2777841429108092,34.0,1
11,0.6629593181018054,-0.33472311894738405,0.7244138285147859,40.0,1
12,0.6629593181018054,-0.47177194574249215,-0.834558354341009,4.0,1
13,-1.6839166679785857,1.2239117455299326,-1.1339088384362244,28.0,0
14,-0.6781126739441324,-0.2612131607170607,-1.1875492298542671,0.0,0
15,0.6629593181018054,0.8250854330685912,0.27735903894423963,26.0,1
16,-0.6781126739441324,0.14218745043584913,-0.4549018663793003,15.0,0
17,0.6629593181018054,-0.42471781403878395,-0.5386473477934923,11.0,1
18,-1.6839166679785857,0.6482626416719844,0.04672081417271302,29.0,0
19,2.0040313101477434,-0.5107248188202931,0.5204412161917098,48.0,1
20,2.0040313101477434,-0.04386452219399813,0.6007085742430607,48.0,1
21,-0.6781126739441324,-0.3561553001203786,-0.4132030318403464,16.0,0
22,-0.6781126739441324,0.43154365838343084,-1.190602249250539,21.0,0
23,-0.6781126739441324,-0.2563948213967596,0.277320393129097,24.0,0
24,0.6629593181018054,-0.4975686365589371,-0.42572427594657536,20.0,1
25,2.0040313101477434,-0.6122049030711221,0.61064054873473,48.0,1
26,2.0040313101477434,-0.6252665034207189,0.8214921161532033,48.0,1
27,2.0040313101477434,-0.6106189193076274,-0.8715037536174131,6.0,1
28,0.6629593181018054,-0.667356959907255,0.17730502353983582,27.0,1
29,0.6629593181018054,-0.4709636321754824,-0.8358723120558602,4.0,1
30,-0.6781126739441324,-0.36030953834044205,0.8095119134589718,31.0,0
31,-0.6781126739441324,-0.42628567123240213,0.08451642138225608,24.0,0
32,0.6629593181018054,-0.33271427044936336,-0.853031053979211,11.0,1
33,-0.6781126739441324,-0.057558350333858185,-0.8650499024885852,1.0,0
34,0.6629593181018054,-0.586509475673471,0.4551684344157199,34.0,1
35,-0.6781126739441324,-0.2653270620623783,-0.6356869896167671,9.0,0
36,-0.6781126739441324,-0.44151748342671066,-0.8156219049210948,1.0,0
